"Data","À vista R$","À vista US$","inx"
"02/09/1996","123.09","121.15","0"
"03/09/1996","119.68","117.69","1"
"04/09/1996","119.39","117.44","2"
"05/09/1996","118.42","116.38","3"
"06/09/1996","118.09","115.98","4"
"09/09/1996","117.3","115.11","5"
"10/09/1996","116.84","114.71","6"
"11/09/1996","114","111.94","7"
"12/09/1996","115.76","113.46","8"
"13/09/1996","115.97","113.84","9"
"16/09/1996","116.4","114.27","10"
"17/09/1996","118.07","115.86","11"
"18/09/1996","117.29","115.09","12"
"19/09/1996","115.93","113.76","13"
"20/09/1996","115.56","113.35","14"
"23/09/1996","115.85","113.63","15"
"24/09/1996","116.28","114.04","16"
"25/09/1996","116.21","113.9","17"
"26/09/1996","115.52","113.23","18"
"27/09/1996","115.1","112.77","19"
"30/09/1996","112.45","110.13","20"
"01/10/1996","113.83","111.48","21"
"02/10/1996","114.21","111.85","22"
"04/10/1996","116.52","114","23"
"07/10/1996","119.45","116.87","24"
"08/10/1996","118.95","116.35","25"
"09/10/1996","119.67","116.91","26"
"10/10/1996","118.97","116.16","27"
"11/10/1996","119.41","116.5","28"
"14/10/1996","117.42","114.6","29"
"15/10/1996","117.02","114.21","30"
"16/10/1996","115.75","112.96","31"
"17/10/1996","114.31","111.57","32"
"18/10/1996","113.48","110.76","33"
"21/10/1996","115.35","112.57","34"
"22/10/1996","119.32","116.09","35"
"23/10/1996","118.83","115.82","36"
"24/10/1996","116.22","113.32","37"
"25/10/1996","115.09","112.02","38"
"28/10/1996","116.12","112.79","39"
"29/10/1996","115.68","112.56","40"
"30/10/1996","115.83","112.77","41"
"31/10/1996","116.18","112.99","42"
"01/11/1996","116.39","113.28","43"
"04/11/1996","116.63","113.5","44"
"05/11/1996","117.24","114.08","45"
"06/11/1996","119.25","116.05","46"
"07/11/1996","119.71","116.38","47"
"08/11/1996","119.13","115.68","48"
"11/11/1996","115.92","112.58","49"
"12/11/1996","117.33","113.88","50"
"13/11/1996","119.88","116.36","51"
"14/11/1996","120.84","117.26","52"
"18/11/1996","120.3","116.75","53"
"19/11/1996","121.39","117.86","54"
"20/11/1996","122.86","119.21","55"
"21/11/1996","119.71","116.13","56"
"22/11/1996","120.34","116.75","57"
"25/11/1996","119.49","115.91","58"
"26/11/1996","119.96","116.28","59"
"27/11/1996","119.97","116.23","60"
"28/11/1996","119.77","115.98","61"
